price,brand,model,kilometers,year of manufacture,exterior_color,city,Link
36900,Toyota,86,132000,2013,Black,Dubai,https://uae.dubizzle.com/motors/used-cars/toyota/86/2024/4/29/2013-toyota-86-manual-gcc-specs-upgraded-b-2-319---e82b41ae0a1c4210816b2c81c26727ec/
55000,Toyota,86,98645,2014,Mint Green,Abu Dhabi,https://uae.dubizzle.com/motors/used-cars/toyota/86/2024/4/28/toyota-86-manual-transmission-gcc-2014-3-888---967dcbeea1334aa8abe276f7209a44da/
57888,Toyota,86,18234,2023,Black,Dubai,https://uae.dubizzle.com/motors/used-cars/toyota/86/2024/1/14/toyota-gr-86-2023-treat-for-drifters-amp-r-2-764---1fa810de5c8446f88f977f9f7b19b96c/
91888,Toyota,86,3000,2023,Grey,Dubai,https://uae.dubizzle.com/motors/used-cars/toyota/86/2024/2/10/only-960-original-miles-toyota-gr-86-model-2-897---de857c79d50247b090b913bed930e127/
44000,Toyota,86,170000,2016,Grey,Dubai,https://uae.dubizzle.com/motors/used-cars/toyota/86/2024/4/29/like-new-top-toyota-86-vtx-bady-kit-trd-gc-2-869---bd55d73f315e407aaac0a27113d86b51/
84000,Toyota,86,130000,2019,Grey,Dubai,https://uae.dubizzle.com/motors/used-cars/toyota/86/2023/10/5/toyota-gt86-vtx-2-326---d9766ace2c564c8fa8f39e93bd5e1e47/
89750,Toyota,86,70000,2018,White,Dubai,https://uae.dubizzle.com/motors/used-cars/toyota/86/2024/2/6/aed-1425-monthly-warranty-flexible-dp-toyo-2-072---1e8f663fb2214f50a4b3f887f71b08c6/
99750,Toyota,86,44000,2019,White,Dubai,https://uae.dubizzle.com/motors/used-cars/toyota/86/2024/2/21/aed-1580-monthly-warranty-flexible-dp-toyo-2-947---dd2eddcb1dab49ee876208392df15e85/
51000,Toyota,86,85000,2016,White,Abu Dhabi,https://uae.dubizzle.com/motors/used-cars/toyota/86/2024/3/11/toyota-86-in-perfect-condition-3-057---389dcd31f090482a84c91d9597b32263/
150000,Toyota,86,19000,2016,White,Dubai,https://uae.dubizzle.com/motors/used-cars/toyota/86/2024/2/24/2016-toyota-86-tro-vtx-2-795---9522a0c1c5a54a7fbc487af8bde5ce99/
49000,Toyota,86,150000,2018,White,Dubai,https://uae.dubizzle.com/motors/used-cars/toyota/86/2024/4/24/toyota-86-vtx-2018-gcc-automatic-2-792---71b3456bf6c64730ab641b606cf00771/
84500,Toyota,86,68500,2018,White,Dubai,https://uae.dubizzle.com/motors/used-cars/toyota/86/2024/4/23/full-option-personal-used-lady-driven-clea-2-983---4adb7c9812e54be192ace5eb31e0d5f3/
45000,Toyota,86,138000,2015,White,Abu Dhabi,https://uae.dubizzle.com/motors/used-cars/toyota/86/2024/4/23/toyota-86-for-sell-3-766---3584afe0da4243d68bfd52ebf79f239a/
76000,Toyota,86,20200,2023,Grey,Dubai,https://uae.dubizzle.com/motors/used-cars/toyota/86/2024/4/22/2023-toyota-gr86-6-speed-manual-2-148---bea48d730a3b4216a9fd59889817283a/
39500,Toyota,86,156000,2013,White,Dubai,https://uae.dubizzle.com/motors/used-cars/toyota/86/2024/4/4/toyota-86-gcc-automatic-transmission-2-931---aae235aca8f24e2e8b4de3e8032eaf58/
43000,Toyota,86,160000,2014,White,Dubai,https://uae.dubizzle.com/motors/used-cars/toyota/86/2024/4/2/dubai-2-677---54ad8dd7c9b44d97aaae1a2a1458498c/
